% Model:              wire_3D.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jan 25 2026, 17:42
% Dimension:          1
% Nodes:              752
% Expressions:        1
% Description:        Line graph
% x-coordinate (nm)       Electric field, z-component
-12.5                     -8.076398232230812E8
-12.496667130993398       -8.083015398067203E8
-12.4921132269941         -8.000726762529616E8
-12.488112208396483       -7.918180959951855E8
-12.46100341485052        -7.977698570082537E8
-12.419556641304936       -8.068695349591672E8
-12.354859138196767       -8.210739323621433E8
-12.351280090878069       -8.218597155530936E8
-12.349712858712387       -8.22203802842936E8
-12.348324704160166       -8.225085734750195E8
-12.343546853993486       -8.235575549540405E8
-12.338852449898294       -8.245882157699115E8
-12.337141355420242       -8.249638881651759E8
-12.289767299454315       -8.35364906522958E8
-12.267537066682031       -8.402455749489124E8
-12.21670148494606        -8.503186086434559E8
-12.20779498413878        -8.510897206237215E8
-12.197577010581309       -8.532225457265747E8
-12.19185439764819        -8.554316875774275E8
-12.163148841070292       -8.607006214794779E8
-12.043961530529772       -8.783646997243668E8
-12.042312842378104       -8.786090424851896E8
-12.041399665975058       -8.78744379203181E8
-12.035507607501964       -8.796176079170446E8
-12.029728440446327       -8.804741056314247E8
-12.016469845182234       -8.824390871642752E8
-12.011922918165224       -8.831129615409856E8
-11.890944934301926       -9.010424253671172E8
-11.88707859743565        -9.016154333208773E8
-11.860481591416873       -9.086860256827044E8
-11.84544963917558        -9.138440197084031E8
-11.826973402997726       -9.188924770134658E8
-11.810663315600644       -9.226539749368011E8
-11.796075372412062       -9.237336962831926E8
-11.783641715575804       -9.246539689032781E8
-11.768512317145905       -9.25773765863799E8
-11.76094466091332        -9.263338832066519E8
-11.73232703073592        -9.28452006768434E8
-11.712731286681855       -9.299023786872226E8
-11.696184041798636       -9.311271170409038E8
-11.689529326211613       -9.316196634116011E8
-11.655331657800323       -9.341507914879285E8
-11.641820857787904       -9.351507884711668E8
-11.630472330456659       -9.359907456228538E8
-11.624934056311831       -9.36400658983431E8
-11.577442343578639       -9.399157409488492E8
-11.57523993853548        -9.400787511626785E8
-11.570910428893951       -9.403991982551119E8
-11.565394680599542       -9.408074443730056E8
-11.499999999999998       -9.500393772762752E8
-11.399999999999997       -9.601962656495441E8
-11.299999999999997       -9.703531540228164E8
-11.199999999999998       -9.80510042396088E8
-11.1                     -9.906669307693584E8
-10.999999999999998       -1.0019672789110935E9
-10.899999999999999       -1.0129568172680638E9
-10.799999999999997       -1.0228028958565693E9
-10.7                     -1.0326489744450755E9
-10.599999999999998       -1.0424950530335815E9
-10.5                     -1.052590134372781E9
-10.400000000000002       -1.056725261216253E9
-10.299999999999999       -1.0606113853090303E9
-10.2                     -1.0644975094018078E9
-10.1                     -1.0683836334945872E9
-10                       -1.0717344688386811E9
-9.899999999999999        -1.0746195923517685E9
-9.8                      -1.0780400046135404E9
-9.7                      -1.0814604168753128E9
-9.6                      -1.0848808291370845E9
-9.5                      -1.092618326533894E9
-9.4                      -1.0980956454285915E9
-9.299999999999999        -1.099255879188251E9
-9.2                      -1.1004161129479096E9
-9.099999999999998        -1.1015763467075696E9
-9                        -1.1019676150223708E9
-8.899999999999999        -1.102196952772306E9
-8.8                      -1.1031952559670994E9
-8.7                      -1.1041935591618938E9
-8.600000000000001        -1.1051918623566885E9
-8.499999999999998        -1.106190165551482E9
-8.439824821937052        -1.1010541199182234E9
-8.42521140324354         -1.101282583838348E9
-8.401223807219424        -1.1016576021921616E9
-8.353236132972143        -1.1024078340445516E9
-8.350422806487087        -1.1024518171542432E9
-8.347499514372425        -1.1024975194495237E9
-8.31947446581116         -1.102935658709766E9
-8.275634209730631        -1.1036210504701405E9
-8.21456588139575         -1.1045757832386637E9
-8.206472265944287        -1.104702317566654E9
-8.203671421658276        -1.1047461055315828E9
-8.200845612974177        -1.1047902837860374E9
-8.199124109685268        -1.105199997391993E9
-8.131283404980554        -1.103188238090229E9
-8.009137686470655        -1.0988768861614878E9
-8.003727761481311        -1.098598045588762E9
-7.996114631434492        -1.0981336298895652E9
-7.991425445401756        -1.0979017133994868E9
-7.977875078207525        -1.0972315430166054E9
-7.8022366568887875       -1.0885448656464171E9
